2025-08-08 16:04:09,433 [INFO] Scraped https://neetcode.io/problems/same-binary-tree?list=neetcode150 | DSA: 3. Breadth First Search | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:10,323 [INFO] Scraped https://neetcode.io/problems/subtree-of-a-binary-tree?list=neetcode150 | DSA: 2. Serialization And Pattern Matching | TC: O(m+n) | SC: O(m+n) | Desc_len: 406
2025-08-08 16:04:11,109 [INFO] Scraped https://neetcode.io/problems/lowest-common-ancestor-in-binary-search-tree?list=neetcode150 | DSA: 2. Iteration | TC: O(h) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:11,923 [INFO] Scraped https://neetcode.io/problems/level-order-traversal-of-binary-tree?list=neetcode150 | DSA: 2. Breadth First Search | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:12,822 [INFO] Scraped https://neetcode.io/problems/binary-tree-right-side-view?list=neetcode150 | DSA: 2. Breadth First Search | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:13,654 [INFO] Scraped https://neetcode.io/problems/count-good-nodes-in-binary-tree?list=neetcode150 | DSA: 2. Breadth First Search | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:14,409 [INFO] Scraped https://neetcode.io/problems/valid-binary-search-tree?list=neetcode150 | DSA: 3. Breadth First Search | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:15,341 [INFO] Scraped https://neetcode.io/problems/kth-smallest-integer-in-bst?list=neetcode150 | DSA: 5. Morris Traversal | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:04:16,272 [INFO] Scraped https://neetcode.io/problems/binary-tree-from-preorder-and-inorder-traversal?list=neetcode150 | DSA: 3. Depth First Search (Optimal) | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:04:17,282 [INFO] Scraped https://neetcode.io/problems/binary-tree-maximum-path-sum?list=neetcode150 | DSA: 2. Depth First Search (Optimal) | TC: O(n) | SC: O(n) | Desc_len: 406
